id_person;username;password;name;surname;email;gender;date_of_birth;city;region
0;koki_smoki;kkk453;Iva;Brisko;iva.brisko@gmail.com;female;;;
0;fifi889;45fs;Kaja;Katic;kaja.katic@gmail.com;female;;;
0;tina122;ggg111;Tina;Slisko;tina.slisko@gmail.com;female;;;
0;emili_k;9990j;Emilija;Kokic;kaja.katic@gmail.com;female;;;
0;rik_pik;rarara;Rikard;Aldo;rikard.aldo@gmail.com;male;;;
0;nikica;45ooo;Nikola;Ledinko;nikola.ledinko@gmail.com;male;;;
0;zmajica123;tikitiki;Ognjena;Kolar;ognjena.kolar@gmail.com;female;;;
0;ulicar_3;pppp0;Petar;Akmacic;petar.akmacic@gmail.com;male;;;
0;pipi_carapa;zizi88;Paloma;Rutic;paloma.rutic@gmail.com;female;;;
0;asteriks;wert;Tijan;Mladic;tijan.mladic@gmail.com;male;;;
0;heroj45;edii;Edi;Kovacic;edi.kovacic@gmail.com;male;;;
0;gum_bum;uuu9;Bojan;Bombic;bojan.bombic@gmail.com;male;;;
0;kike00;oppp;Kristina;Krstic;kristina.krstic@gmail.com;female;;;
0;lilee;pi314;Lidija;Novak;lidija.novak@gmail.com;female;;;
0;toni;jjrj;Antonio;Ilic;antonio.ilic@gmail.com;male;;;
